class,train_count,precision,recall,f1-score,support,right_pred
13,254,0.8055555555555556,0.90625,0.8529411764705882,64,58
99,140,0.6052631578947368,0.6571428571428571,0.6301369863013698,35,23
14,119,0.7307692307692307,0.6333333333333333,0.6785714285714286,30,19
2,95,0.84,0.875,0.8571428571428571,24,21
9,94,0.6666666666666666,0.6956521739130435,0.6808510638297872,23,16
4,62,0.5294117647058824,0.5625,0.5454545454545454,16,9
11,21,1.0,0.2,0.3333333333333333,5,1
17,8,0.0,0.0,0.0,2,0
6,5,0.0,0.0,0.0,1,0
3,4,0.0,0.0,0.0,1,0
7,3,0.0,0.0,0.0,1,0
16,3,0.0,0.0,0.0,1,0
